Unnamed: 0,Table,Row,Description,Special
211.0,previous_application.csv,DAYS_LAST_DUE,Relative to application date of current application when was the last due date of the previous application,time only relative to the application
212.0,previous_application.csv,DAYS_TERMINATION,Relative to application date of current application when was the expected termination of the previous application,time only relative to the application
213.0,previous_application.csv,NFLAG_INSURED_ON_APPROVAL,Did the client requested insurance during the previous application,
214.0,installments_payments.csv,SK_ID_PREV ,"ID of previous credit in Home credit related to loan in our sample. (One loan in our sample can have 0,1,2 or more previous loans in Home Credit)",hashed
215.0,installments_payments.csv,SK_ID_CURR,ID of loan in our sample,hashed
216.0,installments_payments.csv,NUM_INSTALMENT_VERSION,Version of installment calendar (0 is for credit card) of previous credit. Change of installment version from month to month signifies that some parameter of payment calendar has changed,
217.0,installments_payments.csv,NUM_INSTALMENT_NUMBER,On which installment we observe payment,
218.0,installments_payments.csv,DAYS_INSTALMENT,When the installment of previous credit was supposed to be paid (relative to application date of current loan),time only relative to the application
219.0,installments_payments.csv,DAYS_ENTRY_PAYMENT,When was the installments of previous credit paid actually (relative to application date of current loan),time only relative to the application
220.0,installments_payments.csv,AMT_INSTALMENT,What was the prescribed installment amount of previous credit on this installment,
221.0,installments_payments.csv,AMT_PAYMENT,What the client actually paid on previous credit on this installment,
,application_{train|test}.csv,CREDIT_INCOME_PERCENT,the percentage of the credit amount relative to a client's income,
,application_{train|test}.csv,ANNUITY_INCOME_PERCENT,the percentage of the loan annuity relative to a client's income,
,application_{train|test}.csv,CREDIT_TERM,the length of the payment in months,
,application_{train|test}.csv,DAYS_EMPLOYED_PERCENT,the percentage of the days employed relative to the client's age,
,application_{train|test}.csv,CLIENT_AGE,age of the client in years,
